hour,traffic_volume,day_of_week,hour,day_of_year,is_weekend
1/6/2020 20:00,589,0,20,6,0
1/6/2020 21:00,330,0,21,6,0
1/6/2020 22:00,140,0,22,6,0
1/6/2020 23:00,127,0,23,6,0
1/7/2020 0:00,234,1,0,7,0
1/7/2020 1:00,300,1,1,7,0
1/7/2020 2:00,939,1,2,7,0
1/7/2020 3:00,879,1,3,7,0
1/7/2020 4:00,132,1,4,7,0
1/7/2020 5:00,147,1,5,7,0
1/7/2020 6:00,602,1,6,7,0
1/7/2020 7:00,506,1,7,7,0
1/7/2020 8:00,673,1,8,7,0
1/7/2020 9:00,827,1,9,7,0
1/7/2020 10:00,904,1,10,7,0
1/7/2020 11:00,198,1,11,7,0
1/7/2020 12:00,783,1,12,7,0
1/7/2020 13:00,971,1,13,7,0
1/7/2020 14:00,825,1,14,7,0
1/7/2020 15:00,646,1,15,7,0
1/7/2020 16:00,838,1,16,7,0
1/7/2020 17:00,712,1,17,7,0
1/7/2020 18:00,561,1,18,7,0
1/7/2020 19:00,742,1,19,7,0
1/7/2020 20:00,868,1,20,7,0
1/7/2020 21:00,104,1,21,7,0
1/7/2020 22:00,317,1,22,7,0
1/7/2020 23:00,602,1,23,7,0
1/8/2020 0:00,866,2,0,8,0
1/8/2020 1:00,497,2,1,8,0
1/8/2020 2:00,970,2,2,8,0
1/8/2020 3:00,894,2,3,8,0
1/8/2020 4:00,492,2,4,8,0
1/8/2020 5:00,306,2,5,8,0
1/8/2020 6:00,114,2,6,8,0
1/8/2020 7:00,957,2,7,8,0
1/8/2020 8:00,653,2,8,8,0
1/8/2020 9:00,991,2,9,8,0
1/8/2020 10:00,560,2,10,8,0
1/8/2020 11:00,790,2,11,8,0
1/8/2020 12:00,674,2,12,8,0
1/8/2020 13:00,963,2,13,8,0
1/8/2020 14:00,842,2,14,8,0
1/8/2020 15:00,340,2,15,8,0
1/8/2020 16:00,663,2,16,8,0
1/8/2020 17:00,195,2,17,8,0
1/8/2020 18:00,999,2,18,8,0
1/8/2020 19:00,833,2,19,8,0
1/8/2020 20:00,584,2,20,8,0
1/8/2020 21:00,506,2,21,8,0
1/8/2020 22:00,330,2,22,8,0
1/8/2020 23:00,848,2,23,8,0
1/9/2020 0:00,754,3,0,9,0
1/9/2020 1:00,270,3,1,9,0
1/9/2020 2:00,640,3,2,9,0
1/9/2020 3:00,135,3,3,9,0
1/9/2020 4:00,624,3,4,9,0
1/9/2020 5:00,259,3,5,9,0
1/9/2020 6:00,938,3,6,9,0
1/9/2020 7:00,798,3,7,9,0
1/9/2020 8:00,342,3,8,9,0
1/9/2020 9:00,185,3,9,9,0
1/9/2020 10:00,895,3,10,9,0
1/9/2020 11:00,677,3,11,9,0
1/9/2020 12:00,781,3,12,9,0
1/9/2020 13:00,656,3,13,9,0
1/9/2020 14:00,673,3,14,9,0
1/9/2020 15:00,745,3,15,9,0
1/9/2020 16:00,895,3,16,9,0
1/9/2020 17:00,127,3,17,9,0
1/9/2020 18:00,719,3,18,9,0
1/9/2020 19:00,655,3,19,9,0
1/9/2020 20:00,439,3,20,9,0
1/9/2020 21:00,897,3,21,9,0
1/9/2020 22:00,430,3,22,9,0
1/9/2020 23:00,739,3,23,9,0
1/10/2020 0:00,605,4,0,10,0
1/10/2020 1:00,447,4,1,10,0
1/10/2020 2:00,572,4,2,10,0
1/10/2020 3:00,330,4,3,10,0
1/10/2020 4:00,289,4,4,10,0
1/10/2020 5:00,324,4,5,10,0
1/10/2020 6:00,484,4,6,10,0
1/10/2020 7:00,476,4,7,10,0
1/10/2020 8:00,382,4,8,10,0
1/10/2020 9:00,732,4,9,10,0
1/10/2020 10:00,727,4,10,10,0
1/10/2020 11:00,844,4,11,10,0
1/10/2020 12:00,358,4,12,10,0
1/10/2020 13:00,458,4,13,10,0
1/10/2020 14:00,809,4,14,10,0
1/10/2020 15:00,555,4,15,10,0
1/10/2020 16:00,510,4,16,10,0
1/10/2020 17:00,748,4,17,10,0
1/10/2020 18:00,417,4,18,10,0
1/10/2020 19:00,776,4,19,10,0
1/10/2020 20:00,324,4,20,10,0
1/10/2020 21:00,918,4,21,10,0
1/10/2020 22:00,333,4,22,10,0
1/10/2020 23:00,783,4,23,10,0
1/11/2020 0:00,763,5,0,11,1
1/11/2020 1:00,926,5,1,11,1
1/11/2020 2:00,473,5,2,11,1
1/11/2020 3:00,771,5,3,11,1
1/11/2020 4:00,707,5,4,11,1
1/11/2020 5:00,571,5,5,11,1
1/11/2020 6:00,332,5,6,11,1
1/11/2020 7:00,791,5,7,11,1
1/11/2020 8:00,212,5,8,11,1
1/11/2020 9:00,929,5,9,11,1
1/11/2020 10:00,596,5,10,11,1
1/11/2020 11:00,541,5,11,11,1
1/11/2020 12:00,663,5,12,11,1
1/11/2020 13:00,367,5,13,11,1
1/11/2020 14:00,609,5,14,11,1
1/11/2020 15:00,906,5,15,11,1
1/11/2020 16:00,485,5,16,11,1
1/11/2020 17:00,486,5,17,11,1
1/11/2020 18:00,212,5,18,11,1
1/11/2020 19:00,712,5,19,11,1
1/11/2020 20:00,724,5,20,11,1
1/11/2020 21:00,180,5,21,11,1
1/11/2020 22:00,798,5,22,11,1
1/11/2020 23:00,212,5,23,11,1
1/12/2020 0:00,101,6,0,12,1
1/12/2020 1:00,741,6,1,12,1
1/12/2020 2:00,319,6,2,12,1
1/12/2020 3:00,665,6,3,12,1
1/12/2020 4:00,954,6,4,12,1
1/12/2020 5:00,835,6,5,12,1
1/12/2020 6:00,324,6,6,12,1
1/12/2020 7:00,484,6,7,12,1
1/12/2020 8:00,502,6,8,12,1
1/12/2020 9:00,737,6,9,12,1
1/12/2020 10:00,229,6,10,12,1
1/12/2020 11:00,152,6,11,12,1
1/12/2020 12:00,783,6,12,12,1
1/12/2020 13:00,829,6,13,12,1
1/12/2020 14:00,771,6,14,12,1
1/12/2020 15:00,809,6,15,12,1
1/12/2020 16:00,515,6,16,12,1
1/12/2020 17:00,346,6,17,12,1
1/12/2020 18:00,935,6,18,12,1
1/12/2020 19:00,538,6,19,12,1
1/12/2020 20:00,302,6,20,12,1
1/12/2020 21:00,283,6,21,12,1
1/12/2020 22:00,222,6,22,12,1
1/12/2020 23:00,500,6,23,12,1
1/13/2020 0:00,866,0,0,13,0
1/13/2020 1:00,393,0,1,13,0
1/13/2020 2:00,379,0,2,13,0
1/13/2020 3:00,936,0,3,13,0
1/13/2020 4:00,983,0,4,13,0
1/13/2020 5:00,709,0,5,13,0
1/13/2020 6:00,297,0,6,13,0
1/13/2020 7:00,610,0,7,13,0
1/13/2020 8:00,851,0,8,13,0
1/13/2020 9:00,243,0,9,13,0
1/13/2020 10:00,708,0,10,13,0
1/13/2020 11:00,300,0,11,13,0
1/13/2020 12:00,223,0,12,13,0
1/13/2020 13:00,286,0,13,13,0
1/13/2020 14:00,425,0,14,13,0
1/13/2020 15:00,563,0,15,13,0
1/13/2020 16:00,448,0,16,13,0
1/13/2020 17:00,870,0,17,13,0
1/13/2020 18:00,759,0,18,13,0
1/13/2020 19:00,863,0,19,13,0
1/13/2020 20:00,502,0,20,13,0
1/13/2020 21:00,445,0,21,13,0
1/13/2020 22:00,610,0,22,13,0
1/13/2020 23:00,246,0,23,13,0
1/14/2020 0:00,247,1,0,14,0
1/14/2020 1:00,963,1,1,14,0
1/14/2020 2:00,810,1,2,14,0
1/14/2020 3:00,919,1,3,14,0
1/14/2020 4:00,588,1,4,14,0
1/14/2020 5:00,739,1,5,14,0
1/14/2020 6:00,650,1,6,14,0
1/14/2020 7:00,437,1,7,14,0
1/14/2020 8:00,971,1,8,14,0
1/14/2020 9:00,740,1,9,14,0
1/14/2020 10:00,878,1,10,14,0
1/14/2020 11:00,572,1,11,14,0
1/14/2020 12:00,250,1,12,14,0
1/14/2020 13:00,514,1,13,14,0
1/14/2020 14:00,397,1,14,14,0
1/14/2020 15:00,710,1,15,14,0
1/14/2020 16:00,362,1,16,14,0
1/14/2020 17:00,863,1,17,14,0
1/14/2020 18:00,243,1,18,14,0
1/14/2020 19:00,445,1,19,14,0
1/14/2020 20:00,723,1,20,14,0
1/14/2020 21:00,671,1,21,14,0
1/14/2020 22:00,980,1,22,14,0
1/14/2020 23:00,101,1,23,14,0
1/15/2020 0:00,996,2,0,15,0
1/15/2020 1:00,403,2,1,15,0
1/15/2020 2:00,353,2,2,15,0
1/15/2020 3:00,751,2,3,15,0
1/15/2020 4:00,552,2,4,15,0
1/15/2020 5:00,136,2,5,15,0
1/15/2020 6:00,259,2,6,15,0
1/15/2020 7:00,108,2,7,15,0
1/15/2020 8:00,332,2,8,15,0
1/15/2020 9:00,198,2,9,15,0
1/15/2020 10:00,758,2,10,15,0
1/15/2020 11:00,915,2,11,15,0
1/15/2020 12:00,307,2,12,15,0
1/15/2020 13:00,230,2,13,15,0
1/15/2020 14:00,503,2,14,15,0
1/15/2020 15:00,251,2,15,15,0
1/15/2020 16:00,153,2,16,15,0
1/15/2020 17:00,219,2,17,15,0
1/15/2020 18:00,772,2,18,15,0
1/15/2020 19:00,727,2,19,15,0
1/15/2020 20:00,686,2,20,15,0
1/15/2020 21:00,724,2,21,15,0
1/15/2020 22:00,519,2,22,15,0
1/15/2020 23:00,521,2,23,15,0
1/16/2020 0:00,203,3,0,16,0
1/16/2020 1:00,951,3,1,16,0
1/16/2020 2:00,353,3,2,16,0
1/16/2020 3:00,326,3,3,16,0
1/16/2020 4:00,211,3,4,16,0
1/16/2020 5:00,609,3,5,16,0
1/16/2020 6:00,572,3,6,16,0
1/16/2020 7:00,198,3,7,16,0
1/16/2020 8:00,252,3,8,16,0
1/16/2020 9:00,960,3,9,16,0
1/16/2020 10:00,995,3,10,16,0
1/16/2020 11:00,977,3,11,16,0
1/16/2020 12:00,437,3,12,16,0
1/16/2020 13:00,805,3,13,16,0
1/16/2020 14:00,921,3,14,16,0
1/16/2020 15:00,262,3,15,16,0
1/16/2020 16:00,819,3,16,16,0
1/16/2020 17:00,780,3,17,16,0
1/16/2020 18:00,260,3,18,16,0
1/16/2020 19:00,679,3,19,16,0
1/16/2020 20:00,900,3,20,16,0
1/16/2020 21:00,497,3,21,16,0
1/16/2020 22:00,376,3,22,16,0
1/16/2020 23:00,915,3,23,16,0
1/17/2020 0:00,603,4,0,17,0
1/17/2020 1:00,995,4,1,17,0
1/17/2020 2:00,491,4,2,17,0
1/17/2020 3:00,234,4,3,17,0
1/17/2020 4:00,294,4,4,17,0
1/17/2020 5:00,500,4,5,17,0
1/17/2020 6:00,739,4,6,17,0
1/17/2020 7:00,132,4,7,17,0
1/17/2020 8:00,787,4,8,17,0
1/17/2020 9:00,559,4,9,17,0
1/17/2020 10:00,982,4,10,17,0
1/17/2020 11:00,569,4,11,17,0
1/17/2020 12:00,474,4,12,17,0
1/17/2020 13:00,121,4,13,17,0
1/17/2020 14:00,849,4,14,17,0
1/17/2020 15:00,769,4,15,17,0
1/17/2020 16:00,137,4,16,17,0
1/17/2020 17:00,329,4,17,17,0
1/17/2020 18:00,464,4,18,17,0
1/17/2020 19:00,662,4,19,17,0
1/17/2020 20:00,537,4,20,17,0
1/17/2020 21:00,875,4,21,17,0
1/17/2020 22:00,382,4,22,17,0
1/17/2020 23:00,126,4,23,17,0
1/18/2020 0:00,325,5,0,18,1
1/18/2020 1:00,376,5,1,18,1
1/18/2020 2:00,897,5,2,18,1
1/18/2020 3:00,708,5,3,18,1
1/18/2020 4:00,383,5,4,18,1
1/18/2020 5:00,978,5,5,18,1
1/18/2020 6:00,580,5,6,18,1
1/18/2020 7:00,552,5,7,18,1
1/18/2020 8:00,928,5,8,18,1
1/18/2020 9:00,915,5,9,18,1
1/18/2020 10:00,758,5,10,18,1
1/18/2020 11:00,615,5,11,18,1
1/18/2020 12:00,646,5,12,18,1
1/18/2020 13:00,291,5,13,18,1
1/18/2020 14:00,148,5,14,18,1
1/18/2020 15:00,611,5,15,18,1
1/18/2020 16:00,116,5,16,18,1
1/18/2020 17:00,271,5,17,18,1
1/18/2020 18:00,319,5,18,18,1
1/18/2020 19:00,257,5,19,18,1
1/18/2020 20:00,576,5,20,18,1
1/18/2020 21:00,145,5,21,18,1
1/18/2020 22:00,472,5,22,18,1
1/18/2020 23:00,617,5,23,18,1
1/19/2020 0:00,198,6,0,19,1
1/19/2020 1:00,991,6,1,19,1
1/19/2020 2:00,844,6,2,19,1
1/19/2020 3:00,136,6,3,19,1
1/19/2020 4:00,379,6,4,19,1
1/19/2020 5:00,448,6,5,19,1
1/19/2020 6:00,596,6,6,19,1
1/19/2020 7:00,401,6,7,19,1
1/19/2020 8:00,280,6,8,19,1
1/19/2020 9:00,706,6,9,19,1
1/19/2020 10:00,198,6,10,19,1
1/19/2020 11:00,799,6,11,19,1
1/19/2020 12:00,215,6,12,19,1
1/19/2020 13:00,290,6,13,19,1
1/19/2020 14:00,352,6,14,19,1
1/19/2020 15:00,260,6,15,19,1
1/19/2020 16:00,355,6,16,19,1
1/19/2020 17:00,422,6,17,19,1
1/19/2020 18:00,227,6,18,19,1
1/19/2020 19:00,117,6,19,19,1
1/19/2020 20:00,892,6,20,19,1
1/19/2020 21:00,834,6,21,19,1
1/19/2020 22:00,665,6,22,19,1
1/19/2020 23:00,669,6,23,19,1
1/20/2020 0:00,422,0,0,20,0
1/20/2020 1:00,971,0,1,20,0
1/20/2020 2:00,785,0,2,20,0
1/20/2020 3:00,891,0,3,20,0
1/20/2020 4:00,725,0,4,20,0
1/20/2020 5:00,387,0,5,20,0
1/20/2020 6:00,953,0,6,20,0
1/20/2020 7:00,762,0,7,20,0
1/20/2020 8:00,738,0,8,20,0
1/20/2020 9:00,254,0,9,20,0
1/20/2020 10:00,589,0,10,20,0
1/20/2020 11:00,485,0,11,20,0
1/20/2020 12:00,884,0,12,20,0
1/20/2020 13:00,203,0,13,20,0
1/20/2020 14:00,492,0,14,20,0
1/20/2020 15:00,910,0,15,20,0
1/20/2020 16:00,345,0,16,20,0
1/20/2020 17:00,275,0,17,20,0
1/20/2020 18:00,138,0,18,20,0
1/20/2020 19:00,576,0,19,20,0
1/20/2020 20:00,781,0,20,20,0
1/20/2020 21:00,858,0,21,20,0
1/20/2020 22:00,637,0,22,20,0
1/20/2020 23:00,966,0,23,20,0
1/21/2020 0:00,917,1,0,21,0
1/21/2020 1:00,507,1,1,21,0
1/21/2020 2:00,624,1,2,21,0
1/21/2020 3:00,927,1,3,21,0
1/21/2020 4:00,605,1,4,21,0
1/21/2020 5:00,924,1,5,21,0
1/21/2020 6:00,135,1,6,21,0
1/21/2020 7:00,784,1,7,21,0
1/21/2020 8:00,119,1,8,21,0
1/21/2020 9:00,420,1,9,21,0
1/21/2020 10:00,875,1,10,21,0
1/21/2020 11:00,611,1,11,21,0
1/21/2020 12:00,499,1,12,21,0
1/21/2020 13:00,753,1,13,21,0
1/21/2020 14:00,982,1,14,21,0
1/21/2020 15:00,570,1,15,21,0
1/21/2020 16:00,242,1,16,21,0
1/21/2020 17:00,191,1,17,21,0
1/21/2020 18:00,453,1,18,21,0
1/21/2020 19:00,933,1,19,21,0
1/21/2020 20:00,899,1,20,21,0
1/21/2020 21:00,826,1,21,21,0
1/21/2020 22:00,953,1,22,21,0
1/21/2020 23:00,150,1,23,21,0
1/22/2020 0:00,764,2,0,22,0
1/22/2020 1:00,797,2,1,22,0
1/22/2020 2:00,674,2,2,22,0
1/22/2020 3:00,289,2,3,22,0
1/22/2020 4:00,224,2,4,22,0
1/22/2020 5:00,249,2,5,22,0
1/22/2020 6:00,413,2,6,22,0
1/22/2020 7:00,669,2,7,22,0
1/22/2020 8:00,441,2,8,22,0
1/22/2020 9:00,404,2,9,22,0
1/22/2020 10:00,791,2,10,22,0
1/22/2020 11:00,781,2,11,22,0
1/22/2020 12:00,937,2,12,22,0
1/22/2020 13:00,882,2,13,22,0
1/22/2020 14:00,153,2,14,22,0
1/22/2020 15:00,543,2,15,22,0
1/22/2020 16:00,712,2,16,22,0
1/22/2020 17:00,363,2,17,22,0
1/22/2020 18:00,152,2,18,22,0
1/22/2020 19:00,671,2,19,22,0
1/22/2020 20:00,719,2,20,22,0
1/22/2020 21:00,104,2,21,22,0
1/22/2020 22:00,202,2,22,22,0
1/22/2020 23:00,295,2,23,22,0
1/23/2020 0:00,873,3,0,23,0
1/23/2020 1:00,976,3,1,23,0
1/23/2020 2:00,983,3,2,23,0
1/23/2020 3:00,449,3,3,23,0
1/23/2020 4:00,146,3,4,23,0
1/23/2020 5:00,966,3,5,23,0
1/23/2020 6:00,922,3,6,23,0
1/23/2020 7:00,919,3,7,23,0
1/23/2020 8:00,755,3,8,23,0
1/23/2020 9:00,368,3,9,23,0
1/23/2020 10:00,469,3,10,23,0
1/23/2020 11:00,735,3,11,23,0
1/23/2020 12:00,205,3,12,23,0
1/23/2020 13:00,769,3,13,23,0
1/23/2020 14:00,758,3,14,23,0
1/23/2020 15:00,756,3,15,23,0
1/23/2020 16:00,219,3,16,23,0
1/23/2020 17:00,930,3,17,23,0
1/23/2020 18:00,886,3,18,23,0
1/23/2020 19:00,703,3,19,23,0
1/23/2020 20:00,157,3,20,23,0
1/23/2020 21:00,445,3,21,23,0
1/23/2020 22:00,840,3,22,23,0
1/23/2020 23:00,573,3,23,23,0
1/24/2020 0:00,216,4,0,24,0
1/24/2020 1:00,929,4,1,24,0
1/24/2020 2:00,890,4,2,24,0
1/24/2020 3:00,226,4,3,24,0
1/24/2020 4:00,492,4,4,24,0
1/24/2020 5:00,740,4,5,24,0
1/24/2020 6:00,157,4,6,24,0
1/24/2020 7:00,733,4,7,24,0
1/24/2020 8:00,612,4,8,24,0
1/24/2020 9:00,850,4,9,24,0
1/24/2020 10:00,901,4,10,24,0
1/24/2020 11:00,195,4,11,24,0
1/24/2020 12:00,737,4,12,24,0
1/24/2020 13:00,217,4,13,24,0
1/24/2020 14:00,659,4,14,24,0
1/24/2020 15:00,700,4,15,24,0
1/24/2020 16:00,587,4,16,24,0
1/24/2020 17:00,336,4,17,24,0
1/24/2020 18:00,984,4,18,24,0
1/24/2020 19:00,996,4,19,24,0
1/24/2020 20:00,371,4,20,24,0
1/24/2020 21:00,288,4,21,24,0
1/24/2020 22:00,803,4,22,24,0
1/24/2020 23:00,546,4,23,24,0
1/25/2020 0:00,680,5,0,25,1
1/25/2020 1:00,889,5,1,25,1
1/25/2020 2:00,960,5,2,25,1
1/25/2020 3:00,346,5,3,25,1
1/25/2020 4:00,175,5,4,25,1
1/25/2020 5:00,253,5,5,25,1
1/25/2020 6:00,755,5,6,25,1
1/25/2020 7:00,534,5,7,25,1
1/25/2020 8:00,185,5,8,25,1
1/25/2020 9:00,796,5,9,25,1
1/25/2020 10:00,384,5,10,25,1
1/25/2020 11:00,319,5,11,25,1
1/25/2020 12:00,168,5,12,25,1
1/25/2020 13:00,146,5,13,25,1
1/25/2020 14:00,193,5,14,25,1
1/25/2020 15:00,849,5,15,25,1
1/25/2020 16:00,552,5,16,25,1
1/25/2020 17:00,303,5,17,25,1
1/25/2020 18:00,317,5,18,25,1
1/25/2020 19:00,573,5,19,25,1
1/25/2020 20:00,531,5,20,25,1
1/25/2020 21:00,440,5,21,25,1
1/25/2020 22:00,650,5,22,25,1
1/25/2020 23:00,711,5,23,25,1
1/26/2020 0:00,388,6,0,26,1
1/26/2020 1:00,353,6,1,26,1
1/26/2020 2:00,833,6,2,26,1
1/26/2020 3:00,456,6,3,26,1
1/26/2020 4:00,122,6,4,26,1
1/26/2020 5:00,861,6,5,26,1
1/26/2020 6:00,621,6,6,26,1
1/26/2020 7:00,857,6,7,26,1
1/26/2020 8:00,936,6,8,26,1
1/26/2020 9:00,199,6,9,26,1
1/26/2020 10:00,901,6,10,26,1
1/26/2020 11:00,279,6,11,26,1
1/26/2020 12:00,322,6,12,26,1
1/26/2020 13:00,861,6,13,26,1
1/26/2020 14:00,758,6,14,26,1
1/26/2020 15:00,541,6,15,26,1
1/26/2020 16:00,707,6,16,26,1
1/26/2020 17:00,868,6,17,26,1
1/26/2020 18:00,424,6,18,26,1
1/26/2020 19:00,615,6,19,26,1
1/26/2020 20:00,115,6,20,26,1
1/26/2020 21:00,891,6,21,26,1
1/26/2020 22:00,435,6,22,26,1
1/26/2020 23:00,858,6,23,26,1
1/27/2020 0:00,357,0,0,27,0
1/27/2020 1:00,596,0,1,27,0
1/27/2020 2:00,995,0,2,27,0
1/27/2020 3:00,259,0,3,27,0
1/27/2020 4:00,574,0,4,27,0
1/27/2020 5:00,951,0,5,27,0
1/27/2020 6:00,763,0,6,27,0
1/27/2020 7:00,789,0,7,27,0
1/27/2020 8:00,774,0,8,27,0
1/27/2020 9:00,479,0,9,27,0
1/27/2020 10:00,644,0,10,27,0
1/27/2020 11:00,790,0,11,27,0
1/27/2020 12:00,526,0,12,27,0
1/27/2020 13:00,712,0,13,27,0
1/27/2020 14:00,367,0,14,27,0
1/27/2020 15:00,934,0,15,27,0
1/27/2020 16:00,676,0,16,27,0
1/27/2020 17:00,516,0,17,27,0
1/27/2020 18:00,267,0,18,27,0
1/27/2020 19:00,941,0,19,27,0
1/27/2020 20:00,142,0,20,27,0
1/27/2020 21:00,655,0,21,27,0
1/27/2020 22:00,384,0,22,27,0
1/27/2020 23:00,496,0,23,27,0
1/28/2020 0:00,111,1,0,28,0
1/28/2020 1:00,706,1,1,28,0
1/28/2020 2:00,401,1,2,28,0
1/28/2020 3:00,997,1,3,28,0
1/28/2020 4:00,352,1,4,28,0
1/28/2020 5:00,598,1,5,28,0
1/28/2020 6:00,853,1,6,28,0
1/28/2020 7:00,134,1,7,28,0
1/28/2020 8:00,826,1,8,28,0
1/28/2020 9:00,948,1,9,28,0
1/28/2020 10:00,189,1,10,28,0
1/28/2020 11:00,875,1,11,28,0
1/28/2020 12:00,704,1,12,28,0
1/28/2020 13:00,701,1,13,28,0
1/28/2020 14:00,517,1,14,28,0
